id,FunctionalSize,ValueAdjustmentFactor,ProjectElapsedTime,DevelopmentType,BusinessAreaType,ClientServer,DevelopmentPlatform,LanguageType,FirstOS,MaxTeamSize,NormalisedWorkEffortLevel1,PrimaryProgrammingLanguage,ProjectYear,DevelopmentManagementTechnique
1,3,1.09,16.43,Enhancement,?,Yes,?,?,?,?,28,PHP,2011,Waterfall
2,620,?,7.93,New_Development,?,?,MF,3GL,Unix,?,18160,.NET,2015,RAD
3,730,1.14,6.51,Enhancement,?,?,MF,3GL,Unix,?,20975,Ruby,2021,Agile
4,114,1.18,7.47,Enhancement,?,?,?,3GL,?,?,7290,C#,2001,Waterfall
5,460,1,4.05,Enhancement,?,?,?,?,?,5,2253,C#,2014,RAD
6,7,1.1,8.5,Enhancement,?,Yes,?,4GL,?,?,396,COBOL,2009,Waterfall
7,80,1.12,10.44,Enhancement,?,No,MF,3GL,Mainframe,3.5,3199,Java,2013,Agile
8,4,?,26.5,Enhancement,?,?,MF,3GL,Mainframe,?,145,PHP,2010,Waterfall
9,309,?,10.75,New_Development,?,?,PC,4GL,Windows,?,2516,.NET,2001,Agile
10,69,0.95,9.71,New_Development,?,Yes,?,3GL,?,?,2915,Java,2007,Agile
11,275,1.23,8.66,Enhancement,?,?,?,?,?,?,1888,COBOL,2018,Waterfall
12,68,?,4.91,Enhancement,?,?,MF,3GL,Mainframe,?,2710,Java,2020,Agile
13,12,1.11,3.38,Enhancement,?,Yes,?,4GL,?,?,343,Ruby,2006,RAD
14,702,?,29.36,New_Development,?,Yes,Multi,4GL,Windows,?,4805,.NET,2003,Waterfall
15,154,1,8.45,New_Development,Banking,?,MF,3GL,Mainframe,9,2408,C++,2004,RAD
16,3,?,6.76,Enhancement,?,?,MF,3GL,?,?,65,Go,2023,RAD
17,46,1.12,6.75,Enhancement,Telecommunications,?,?,4GL,?,11,4063,PHP,2003,Agile
18,203,1.18,21.02,Enhancement,?,?,?,3GL,?,?,1822,JavaScript,2008,Waterfall
19,14,?,29.01,Enhancement,?,?,MF,3GL,Mainframe,?,180,COBOL,2004,Waterfall
20,687,1,17.96,Enhancement,?,?,?,?,?,4,1788,.NET,2011,RAD
21,28,1,7.55,New_Development,?,?,?,3GL,?,4,686,Ruby,2005,Agile
22,24,?,13.5,Enhancement,?,?,MF,3GL,Mainframe,?,2347,C#,2002,RAD
23,267,?,6.55,Enhancement,?,Yes,Multi,4GL,?,?,8486,COBOL,2009,Agile
24,324,1,13.47,New_Development,Banking,?,MF,3GL,Mainframe,8,5867,COBOL,2002,RAD
25,113,1.21,15.68,Enhancement,?,Yes,?,4GL,?,?,1847,JavaScript,2019,RAD
26,307,0.95,34.22,Enhancement,Telecommunications,?,?,3GL,?,11,2994,Swift,2018,Waterfall
27,87,0.95,6.55,Enhancement,Telecommunications,?,?,4GL,?,4,1606,Python,2020,Agile
28,745,1.3,12.98,Enhancement,?,?,?,3GL,?,?,15112,Go,2016,RAD
29,77,1.02,7.51,Enhancement,Telecommunications,?,?,3GL,?,6,1936,COBOL,2019,RAD
30,49,1.18,8.11,Enhancement,?,Yes,?,4GL,?,?,161,Ruby,2007,Agile
31,161,1.15,5.25,Enhancement,?,?,MF,3GL,Unix,?,9719,C#,2001,Agile
32,387,1,16.01,Enhancement,?,?,?,?,?,4,1235,Ruby,2018,RAD
33,340,1.15,22.34,Enhancement,Telecommunications,?,MR,4GL,Unix,3,676,Python,2022,Waterfall
34,40,?,11.81,Enhancement,?,Yes,Multi,4GL,?,?,261,C#,2015,RAD
35,51,1,24.51,Enhancement,?,?,?,?,?,5,417,Python,2014,Waterfall
36,100,1.28,14.59,Enhancement,?,?,?,?,?,?,878,Java,2012,RAD
37,31,?,20.21,Enhancement,?,Yes,Multi,4GL,?,?,578,Go,2022,Waterfall
38,70,1.1,9.97,Enhancement,Telecommunications,?,PC,3GL,Windows,?,436,Ruby,2011,Agile
39,228,1.02,5.62,Enhancement,?,No,MF,3GL,?,4.5,5876,COBOL,2022,RAD
40,18,1.18,11.26,Enhancement,?,Yes,?,4GL,?,?,268,Python,2015,Waterfall
41,2697,1.17,14.3,Enhancement,Telecommunications,?,MF,3GL,Mainframe,27,10957,Ruby,2011,Waterfall
42,34,?,7.13,Enhancement,?,?,MF,4GL,?,?,847,C#,2011,Agile
43,155,1.18,7.9,Enhancement,?,?,?,3GL,?,?,8385,C#,2017,RAD
44,307,?,10.02,Enhancement,?,Yes,Multi,4GL,?,?,1596,COBOL,2006,Waterfall
45,310,1.12,11.47,Enhancement,?,No,MF,3GL,Mainframe,4,5971,C++,2003,RAD
46,200,1,7.34,New_Development,Banking,No,MF,3GL,Mainframe,6,1935,C#,2017,RAD
47,474,1,6.48,New_Development,?,?,?,3GL,?,5,1644,JavaScript,2022,Waterfall
48,215,?,6.95,Enhancement,Telecommunications,?,?,4GL,Windows,9,1946,Go,2016,Agile
49,124,?,7.34,Enhancement,?,?,PC,3GL,Windows,?,2800,Java,2000,RAD
50,170,1,13.24,Enhancement,Banking,No,MF,3GL,Mainframe,?,2192,PHP,2009,RAD
51,539,?,3.73,Enhancement,?,?,MR,3GL,Unix,5,2409,COBOL,2001,RAD
52,455,1,15.19,New_Development,?,?,?,4GL,?,6,10670,Ruby,2010,Waterfall
53,397,?,10.34,Enhancement,?,Yes,Multi,4GL,?,?,4668,Python,2014,Agile
54,153,1.16,21.16,Enhancement,?,?,?,3GL,?,?,2611,Go,2023,Waterfall
55,407,?,14.0,Enhancement,?,?,MR,3GL,Windows,?,1472,Ruby,2021,RAD
56,51,?,9.64,Enhancement,?,?,MF,3GL,?,?,385,PHP,2013,Agile
57,61,1.18,15.24,Enhancement,?,Yes,?,4GL,?,?,353,JavaScript,2016,Waterfall
58,116,1,27.82,Enhancement,?,?,?,4GL,?,2,1400,Java,2010,Waterfall
59,117,?,17.78,Enhancement,?,Yes,Multi,4GL,?,?,3107,C++,2000,RAD
60,95,1.11,10.69,Enhancement,Telecommunications,?,?,3GL,?,14,4220,.NET,2021,RAD
61,36,1.18,6.06,Enhancement,?,Yes,?,4GL,?,?,734,PHP,2003,Agile
62,156,1,17.84,Enhancement,?,?,?,?,?,?,901,C#,2000,RAD
63,299,1.11,11.73,New_Development,?,?,?,?,?,8,8772,PHP,2002,RAD
64,299,1.19,5.91,Enhancement,?,?,?,3GL,?,?,1989,.NET,2005,Agile
65,114,0.86,5.75,Enhancement,Telecommunications,?,?,4GL,?,8,3583,JavaScript,2021,RAD
66,99,1,4.76,New_Development,?,?,?,?,?,1,340,PHP,2009,Agile
67,142,1,10.91,New_Development,Banking,?,MF,3GL,Mainframe,6,3090,.NET,2017,Agile
68,27,?,10.9,Enhancement,?,?,MF,3GL,?,?,449,Java,2008,Agile
69,99,1,15.13,Enhancement,?,?,?,3GL,?,2,1200,Go,2015,RAD
70,409,1.01,3.79,Enhancement,Telecommunications,?,?,?,?,2,554,C++,2003,Agile
71,32,0.73,11.14,Enhancement,?,?,MF,3GL,Mainframe,4,1543,COBOL,2012,Agile
72,198,0.97,7.2,Enhancement,Telecommunications,?,?,4GL,?,5,2151,C#,2006,RAD
73,7,?,29.14,Enhancement,?,?,MF,3GL,?,?,94,COBOL,2005,Waterfall
74,118,?,12.12,Enhancement,?,Yes,Multi,3GL,?,?,4485,COBOL,2011,RAD
75,7,1.19,11.85,Enhancement,?,Yes,?,?,?,?,95,.NET,2007,RAD
76,424,?,4.35,New_Development,?,?,PC,3GL,Windows,?,6944,COBOL,2006,Agile
77,171,1,17.81,Enhancement,?,?,?,?,?,6,3920,JavaScript,2020,RAD
78,135,1.06,5.5,Enhancement,Telecommunications,?,?,4GL,?,6,1139,PHP,2003,Agile
79,202,?,10.58,Enhancement,?,Yes,Multi,3GL,?,?,1846,JavaScript,2021,Agile
80,198,1,18.88,New_Development,?,?,?,3GL,?,3,1085,JavaScript,2005,Waterfall
81,352,1,4.06,Enhancement,?,?,?,?,?,15,1500,C#,2000,Agile
82,465,?,6.06,Enhancement,Telecommunications,?,?,4GL,?,1,1070,Java,2019,RAD
83,238,1.3,15.21,Enhancement,?,?,MF,3GL,Mainframe,?,1650,Java,2022,Waterfall
84,220,1,13.19,Enhancement,?,?,?,?,?,6,1104,COBOL,2011,RAD
85,11,?,3.26,Enhancement,?,Yes,?,?,?,?,200,PHP,2000,Agile
86,19,?,1.77,Enhancement,?,?,MF,3GL,?,?,136,JavaScript,2016,Agile
87,201,1.01,7.88,Enhancement,Telecommunications,?,?,4GL,?,5,1520,Swift,2022,RAD
88,107,?,9.47,Enhancement,?,Yes,Multi,4GL,Windows,?,975,.NET,2009,Agile
89,146,?,5.61,New_Development,?,No,MF,3GL,Mainframe,2,2604,C#,2019,RAD
90,11,?,3.69,Enhancement,?,?,MF,3GL,Mainframe,?,145,C#,2005,RAD
91,30,?,16.01,Enhancement,?,?,MF,3GL,Mainframe,?,822,PHP,2005,RAD
92,111,1.12,5.2,Enhancement,Telecommunications,?,?,?,?,7,1982,COBOL,2003,RAD
93,34,?,12.92,Enhancement,?,?,MF,3GL,?,?,1012,Java,2004,Waterfall
94,80,1.17,8.78,Enhancement,?,Yes,?,4GL,?,?,2506,C++,2000,Agile
95,116,?,13.1,Enhancement,?,Yes,Multi,3GL,Windows,?,1512,JavaScript,2016,RAD
96,16,?,3.97,Enhancement,?,?,MF,3GL,?,?,521,JavaScript,2006,Agile
97,57,1.04,5.5,Enhancement,Telecommunications,?,?,4GL,?,3,804,Java,2010,Agile
98,357,1.18,1.15,Enhancement,?,?,?,3GL,?,?,4350,PHP,2000,Agile
99,39,?,10.97,Enhancement,?,?,MF,3GL,?,?,429,Go,2022,Agile
100,258,1,9.41,New_Development,?,?,?,?,?,3,1381,Python,2012,Agile
101,1233,1,9.91,Enhancement,?,?,?,?,?,32,20041,Ruby,2018,RAD
102,322,1.08,15.99,Enhancement,Telecommunications,?,MR,4GL,Unix,5,973,Ruby,2009,Waterfall
103,14,?,14.54,Enhancement,?,?,MF,3GL,Mainframe,?,179,JavaScript,2017,RAD
104,173,?,4.89,Enhancement,Telecommunications,?,MR,4GL,Unix,10,2890,Java,2003,Agile
105,204,1.01,25.39,Enhancement,Telecommunications,?,PC,4GL,Windows,?,246,Java,2019,Waterfall
106,426,?,7.32,New_Development,?,?,MR,4GL,Mainframe,?,2110,COBOL,2015,Agile
107,295,1.11,14.37,Enhancement,Telecommunications,?,?,?,?,8,4754,Go,2018,RAD
108,103,1.12,10.98,Enhancement,?,?,MF,4GL,Unix,?,673,Java,2003,Waterfall
109,556,1.11,2.64,Enhancement,Telecommunications,Yes,MR,3GL,Unix,10,3793,JavaScript,2005,Agile
110,17,?,15.98,Enhancement,?,?,MF,3GL,?,?,238,PHP,2004,RAD
111,51,1.03,22.51,Enhancement,Telecommunications,?,?,4GL,?,9,1636,.NET,2021,Waterfall
112,583,1,2.5,Enhancement,?,?,?,?,?,4,476,Java,2001,Agile
113,578,?,15.07,Enhancement,?,?,MF,3GL,Mainframe,?,2022,Java,2004,Waterfall
114,14,?,2.18,Enhancement,?,?,?,3GL,?,?,2527,COBOL,2011,Agile
115,292,1,1.23,New_Development,?,?,?,4GL,?,4,6680,C#,2000,Agile
116,142,?,11.12,Enhancement,?,?,MF,3GL,Mainframe,?,7527,Ruby,2008,Agile
117,1307,?,11.84,Enhancement,?,?,MR,3GL,Unix,?,6600,C#,2004,Waterfall
118,354,1,7.7,New_Development,?,?,?,3GL,?,10,5863,COBOL,2004,Agile
119,500,0.93,17.86,Enhancement,Telecommunications,Yes,PC,4GL,Windows,?,4054,Ruby,2018,Waterfall
120,1444,?,8.13,New_Development,?,Yes,Multi,4GL,Windows,?,6129,COBOL,2015,Agile
121,641,1,17.59,Enhancement,?,?,?,?,?,2,508,PHP,2014,Waterfall
122,393,1,10.6,Enhancement,?,?,?,?,?,12,6660,PHP,2011,Waterfall
123,7,0.95,23.42,Enhancement,?,?,?,3GL,?,?,1818,COBOL,2002,Waterfall
124,445,1,14.66,New_Development,Banking,?,MF,3GL,Mainframe,8,8499,JavaScript,2023,RAD
125,221,1,17.51,Enhancement,?,?,?,?,?,3,624,.NET,2000,RAD
126,981,?,1.73,Enhancement,?,Yes,Multi,3GL,Windows,?,25837,.NET,2002,Agile
127,1606,1,17.01,Enhancement,?,?,?,?,?,32,17230,COBOL,2003,RAD
128,25,1,15.55,New_Development,?,?,?,3GL,?,1,97,Python,2023,RAD
129,118,1,5.48,New_Development,?,?,?,3GL,?,6,9021,PHP,2004,RAD
130,56,?,10.6,Enhancement,?,Yes,Multi,4GL,?,?,997,Python,2016,RAD
131,97,?,13.59,Enhancement,?,?,MF,3GL,?,?,2450,Swift,2022,RAD
132,295,1.19,6.68,Enhancement,?,?,MF,3GL,Mainframe,?,1775,Python,2023,Agile
133,65,1,17.5,Enhancement,?,?,MF,?,Unix,?,618,Python,2013,RAD
134,51,0.95,15.26,Enhancement,?,?,?,3GL,?,?,727,PHP,2007,RAD
135,158,1.01,7.05,Enhancement,Telecommunications,?,PC,4GL,Windows,?,476,JavaScript,2013,Agile
136,80,1.09,13.02,Enhancement,?,?,MF,3GL,Unix,?,4281,COBOL,2003,RAD
137,84,?,17.9,Enhancement,?,?,MF,3GL,?,?,899,JavaScript,2013,RAD
138,33,?,5.04,Enhancement,?,?,MF,3GL,?,?,583,.NET,2006,RAD
139,1433,1,8.49,New_Development,?,?,?,?,?,13,3838,.NET,2007,Waterfall
140,79,1.17,8.79,Enhancement,?,Yes,?,4GL,?,?,1585,COBOL,2018,Waterfall
141,38,1.27,17.27,Enhancement,?,Yes,?,3GL,?,?,570,.NET,2012,RAD
142,54,1.14,1.42,Enhancement,?,Yes,?,?,?,?,129,COBOL,2005,Agile
143,170,1,10.94,New_Development,?,?,?,3GL,?,3,1148,Java,2005,Agile
144,355,1.03,16.31,Enhancement,Telecommunications,?,MR,4GL,Unix,20,10205,COBOL,2012,RAD
145,227,?,13.11,Enhancement,?,?,MF,3GL,Mainframe,?,2700,Ruby,2008,RAD
146,3354,1,12.44,New_Development,?,?,?,3GL,?,16,31632,Go,2017,RAD
147,338,1,31.27,Enhancement,?,?,?,?,?,10,10003,Java,2002,Waterfall
148,194,1,6.98,New_Development,?,?,?,?,?,4,1953,COBOL,2003,Agile
149,51,?,11.77,Enhancement,?,?,MF,3GL,Mainframe,?,966,COBOL,2019,Agile
150,59,1.07,11.24,Enhancement,Telecommunications,?,MR,3GL,Unix,6,937,PHP,2003,RAD
151,88,1.07,7.69,Enhancement,?,?,?,3GL,?,?,5242,Go,2015,Agile
152,1824,1,9.59,Enhancement,?,?,?,?,?,5,3210,COBOL,2017,RAD
153,293,?,6.37,Enhancement,?,Yes,Multi,3GL,?,?,5856,.NET,2023,Agile
154,55,?,11.39,Enhancement,?,?,MF,4GL,?,?,869,C#,2003,Waterfall
155,103,1.03,9.48,Enhancement,?,?,MF,4GL,Unix,?,1920,C#,2023,Agile
156,130,1.17,9.75,Enhancement,?,?,?,?,?,?,1122,Java,2010,RAD
157,394,1.02,11.17,Enhancement,?,Yes,?,?,?,?,2756,COBOL,2022,Agile
158,321,1.03,6.11,New_Development,?,?,?,4GL,?,?,2312,COBOL,2020,RAD
159,2929,1,33.14,New_Development,?,?,?,?,?,12,7980,COBOL,2019,Waterfall
160,89,1.05,9.91,Enhancement,?,?,MF,3GL,Unix,?,983,Swift,2015,Agile
161,32,?,31.76,Enhancement,?,?,MF,3GL,?,?,781,Java,2012,Waterfall
162,20,?,32.09,Enhancement,?,Yes,Multi,3GL,?,?,515,Java,2009,Waterfall
163,74,?,13.03,Enhancement,?,?,MF,3GL,?,?,1293,Java,2020,RAD
164,39,1,4.47,Enhancement,?,?,?,?,?,3,823,Swift,2019,Agile
165,9,1,6.95,Enhancement,?,?,?,3GL,?,?,2947,Java,2001,RAD
166,270,1,10.67,Enhancement,?,?,?,?,?,5,1120,Java,2001,Waterfall
167,63,1.12,11.65,Enhancement,?,Yes,?,4GL,?,?,865,C#,2014,RAD
168,670,0.97,6.48,Enhancement,?,No,MF,3GL,?,20,20960,Swift,2021,Agile
169,175,1,9.85,New_Development,?,?,?,?,?,4,1115,Java,2023,Agile
170,343,1.07,2.8,Enhancement,?,?,?,3GL,?,?,8374,JavaScript,2017,Agile
171,38,1.16,16.35,Enhancement,?,?,?,3GL,?,?,944,PHP,2004,RAD
172,146,1.07,11.57,Enhancement,Telecommunications,Yes,MR,3GL,Unix,6,2458,COBOL,2001,RAD
173,222,?,19.82,Enhancement,?,?,MF,3GL,?,?,1487,Python,2012,Waterfall
174,26,1,4.42,Enhancement,?,?,?,?,?,2,184,.NET,2015,Agile
175,75,1.01,19.73,Enhancement,Telecommunications,?,?,4GL,?,16,4430,COBOL,2002,Waterfall
176,335,1,28.19,Enhancement,?,?,?,3GL,?,2,671,C++,2000,Waterfall
177,153,1.12,4.41,Enhancement,?,No,MF,3GL,?,1.65,2807,C#,2010,Agile
178,102,?,30.28,Enhancement,?,?,MF,3GL,Mainframe,?,2258,JavaScript,2017,Waterfall
179,81,1.21,6.03,Enhancement,?,Yes,?,4GL,?,?,668,Swift,2015,RAD
180,127,1.07,7.06,Enhancement,Telecommunications,?,?,3GL,?,1,687,JavaScript,2014,Agile
181,78,1,12.15,Enhancement,Banking,No,MF,3GL,Mainframe,?,1084,PHP,2004,Waterfall
182,129,1.12,3.89,Enhancement,?,Yes,?,4GL,?,?,1206,C++,2002,RAD
183,14,1.15,6.66,Enhancement,?,Yes,?,?,?,?,214,Java,2023,Agile
184,92,?,7.65,Enhancement,?,Yes,Multi,3GL,?,?,930,COBOL,2018,Waterfall
185,266,1,6.05,Enhancement,?,?,?,?,?,1,699,Ruby,2013,Agile
186,175,1,33.8,Enhancement,?,?,?,?,?,2,636,Java,2006,Waterfall
187,80,1.02,4.22,Enhancement,?,?,MF,?,Unix,?,514,Go,2019,RAD
188,15,?,34.64,Enhancement,?,Yes,Multi,4GL,?,?,210,Java,2008,Waterfall
189,134,1,23.12,New_Development,Telecommunications,?,?,4GL,?,1,286,COBOL,2002,Waterfall
190,69,1.09,9.63,Enhancement,Telecommunications,?,?,3GL,?,2,304,C#,2008,Waterfall
191,81,1.09,28.73,Enhancement,Telecommunications,?,?,3GL,?,2,129,.NET,2000,Waterfall
192,38,0.95,19.54,Enhancement,?,No,MF,3GL,?,2,1206,.NET,2014,Waterfall
193,459,1,15.69,Enhancement,?,?,?,3GL,?,5,2705,COBOL,2001,RAD
194,99,0.78,14.42,New_Development,Banking,?,MF,3GL,Mainframe,?,1099,.NET,2011,Waterfall
195,495,1,1.79,New_Development,?,?,?,?,?,4,1486,COBOL,2001,Agile
196,120,?,17.0,Enhancement,?,?,MF,3GL,Windows,?,3080,Java,2004,RAD
197,192,?,7.8,New_Development,?,?,MF,3GL,Mainframe,?,4386,Python,2011,Agile
198,9,1.01,17.25,Enhancement,?,Yes,?,?,?,?,27,Ruby,2015,RAD
199,539,?,6.38,New_Development,?,Yes,Multi,3GL,Windows,?,5975,COBOL,2000,Agile
200,301,1.12,14.59,Enhancement,Telecommunications,?,?,?,?,13,4581,PHP,2010,Waterfall
201,118,1,11.89,New_Development,?,?,?,3GL,?,6,3190,JavaScript,2018,Waterfall
202,24,?,13.2,Enhancement,?,?,MF,3GL,Mainframe,?,480,PHP,2004,Waterfall
203,28,?,18.57,Enhancement,?,?,MF,3GL,Mainframe,?,21,C#,2004,Waterfall
204,89,0.92,29.58,Enhancement,?,?,?,?,?,?,1477,Java,2011,Waterfall
205,57,1,6.37,Enhancement,Banking,No,MF,3GL,Mainframe,?,1179,.NET,2019,Waterfall
206,1753,?,7.89,Enhancement,?,?,PC,3GL,Windows,18,7368,.NET,2015,Agile
207,313,0.92,19.97,Enhancement,Telecommunications,?,MR,4GL,Unix,6,2963,JavaScript,2020,Waterfall
208,208,?,4.71,Enhancement,?,?,MF,3GL,?,?,1284,C++,2004,Agile
209,191,1.17,9.2,Enhancement,?,?,?,?,?,?,818,Ruby,2014,RAD
210,271,?,6.79,Enhancement,?,?,MF,3GL,?,?,3303,COBOL,2003,RAD
211,98,1.03,11.14,Enhancement,?,?,MF,4GL,Unix,?,1308,JavaScript,2014,RAD
212,35,1.1,17.47,Enhancement,?,Yes,?,4GL,?,?,241,C#,2007,RAD
213,695,1,28.51,Enhancement,?,?,?,?,?,6,9928,.NET,2018,Waterfall
214,14,?,33.14,Enhancement,?,Yes,Multi,3GL,?,?,434,PHP,2009,Waterfall
215,71,0.85,3.39,New_Development,Telecommunications,?,PC,4GL,?,?,164,COBOL,2019,RAD
216,70,?,17.09,Enhancement,?,?,MF,3GL,?,?,674,Python,2011,Waterfall
217,190,1.2,3.62,Enhancement,?,?,MF,3GL,Unix,?,2199,C#,2002,RAD
218,149,1.22,8.14,Enhancement,Telecommunications,?,?,?,?,11,5495,Swift,2022,Agile
219,169,1,11.5,New_Development,Telecommunications,?,?,4GL,?,2,580,PHP,2000,Agile
220,1338,1.01,6.11,Enhancement,Telecommunications,?,?,4GL,?,10,3189,Java,2014,RAD
221,46,?,17.45,Enhancement,?,?,MF,3GL,Mainframe,?,640,Ruby,2006,RAD
222,89,1.03,15.23,Enhancement,Telecommunications,?,?,?,?,7,2601,Swift,2020,RAD
223,171,?,8.8,Enhancement,?,Yes,Multi,4GL,?,?,3861,Go,2021,RAD
224,192,1.11,23.84,Enhancement,?,Yes,?,?,?,?,1245,Java,2001,Waterfall
225,207,?,13.5,Enhancement,?,Yes,Multi,4GL,Windows,2,798,JavaScript,2005,RAD
226,18,?,12.85,Enhancement,?,?,MF,3GL,Mainframe,?,145,PHP,2004,RAD
227,188,1.06,7.76,Enhancement,Telecommunications,?,?,4GL,?,5,1136,JavaScript,2005,Waterfall
228,468,?,9.25,Enhancement,Telecommunications,?,?,3GL,?,28,10498,Go,2021,Waterfall
229,372,?,29.83,Enhancement,?,Yes,Multi,3GL,?,?,8604,COBOL,2004,Waterfall
230,224,1,5.33,New_Development,?,?,?,3GL,?,?,2444,COBOL,2017,Agile
231,77,1.3,15.55,Enhancement,?,?,MF,3GL,Mainframe,?,252,Python,2016,Waterfall
232,88,?,11.82,Enhancement,?,?,MF,3GL,Mainframe,?,805,C#,2003,RAD
233,1236,?,14.27,New_Development,?,?,PC,4GL,Windows,?,2504,COBOL,2007,RAD
234,51,?,33.31,Enhancement,?,Yes,Multi,3GL,?,?,412,C#,2012,Waterfall
235,644,1.04,3.15,Enhancement,Telecommunications,?,MR,4GL,Unix,16,6936,COBOL,2003,Agile
236,676,1,4.07,New_Development,?,?,?,?,?,8,4731,Ruby,2019,Agile
237,9,?,6.09,Enhancement,?,?,?,?,?,?,240,JavaScript,2022,Agile
