id,FunctionalSize,ValueAdjustmentFactor,ProjectElapsedTime,DevelopmentType,BusinessAreaType,ClientServer,DevelopmentPlatform,LanguageType,FirstOS,MaxTeamSize,NormalisedWorkEffortLevel1,PrimaryProgrammingLanguage,ProjectYear,DevelopmentManagementTechnique
238,46,?,12.79,Enhancement,?,Yes,Multi,3GL,?,?,1389,.NET,2016,Waterfall
239,39,1,17.59,Enhancement,?,Yes,?,?,?,?,564,C#,2013,RAD
240,3,1.02,17.63,Enhancement,?,?,?,?,?,?,28,PHP,2014,Waterfall
241,143,?,15.64,Enhancement,?,Yes,Multi,4GL,?,?,1762,Java,2004,Waterfall
242,551,1,6.32,New_Development,?,?,?,3GL,?,17,16380,.NET,2011,Agile
243,38,?,1.64,Enhancement,?,?,MF,3GL,Mainframe,?,429,C#,2006,Agile
244,75,1.02,13.84,Enhancement,?,No,MF,3GL,?,2.1,2130,PHP,2008,RAD
245,1494,?,7.49,Enhancement,Telecommunications,?,?,4GL,?,27,20396,JavaScript,2013,Agile
246,454,1,5.38,New_Development,?,?,?,?,?,?,327,Go,2022,Agile
247,76,0.9,8.36,Enhancement,?,?,?,?,?,?,37,C#,2006,Waterfall
248,413,?,5.75,Enhancement,?,?,MF,3GL,Unix,?,2982,Java,2013,Agile
249,101,1.11,13.84,Enhancement,?,?,MF,4GL,Unix,?,398,C#,2008,RAD
250,72,0.85,16.09,New_Development,Telecommunications,?,MR,4GL,Unix,2,417,Go,2015,Waterfall
251,508,1,8.64,Enhancement,?,?,?,?,?,6,2377,Ruby,2007,Agile
252,123,1,9.46,New_Development,?,?,?,?,?,3,337,Python,2020,Agile
253,227,0.96,13.23,New_Development,Telecommunications,?,PC,4GL,?,18,5532,Swift,2016,Waterfall
254,59,1.12,4.26,Enhancement,Telecommunications,?,MR,3GL,Unix,?,296,COBOL,2006,Agile
255,58,1.17,8.04,Enhancement,Telecommunications,?,?,?,?,7,1668,COBOL,2003,Waterfall
256,134,?,6.1,Enhancement,Telecommunications,?,?,4GL,?,12,3899,.NET,2006,RAD
257,1827,?,2.8,Enhancement,?,?,MR,3GL,Unix,?,2258,Java,2003,Agile
258,84,1.16,7.26,Enhancement,?,?,MF,3GL,Unix,?,1034,Ruby,2007,RAD
259,83,?,11.0,Enhancement,?,Yes,Multi,3GL,?,?,1151,PHP,2001,Agile
260,426,1,10.28,New_Development,?,?,?,?,?,4,2622,Java,2010,RAD
261,5,1.28,7.46,Enhancement,?,?,?,?,?,?,34,COBOL,2005,Waterfall
262,262,?,30.86,Enhancement,?,?,MF,3GL,Mainframe,?,4253,Java,2019,Waterfall
263,43,1.19,10.15,Enhancement,?,?,MF,4GL,Unix,?,128,C#,2023,RAD
264,48,?,11.52,Enhancement,?,?,MF,4GL,?,?,1781,COBOL,2010,Agile
265,915,1,11.36,Enhancement,?,?,?,?,?,4,1392,C#,2003,RAD
266,113,1,15.99,Enhancement,?,?,?,?,?,3,196,JavaScript,2015,RAD
267,149,1,21.52,New_Development,?,?,?,?,?,3,518,Swift,2022,Waterfall
268,99,?,12.13,Enhancement,?,Yes,Multi,3GL,?,?,3494,JavaScript,2014,RAD
269,601,1,3.52,New_Development,?,?,?,?,?,?,10866,Java,2009,RAD
270,826,?,4.06,Enhancement,?,?,MF,3GL,?,7,6418,C++,2000,Agile
271,89,1.12,28.15,Enhancement,?,?,MF,4GL,Unix,?,2823,Python,2015,Waterfall
272,219,0.95,16.02,Enhancement,?,?,?,3GL,?,?,5317,Go,2020,RAD
273,59,1.13,24.03,Enhancement,?,Yes,?,3GL,?,?,1008,Java,2009,Waterfall
274,153,1.01,7.88,New_Development,?,?,?,?,?,?,1840,C#,2003,Agile
275,187,1,3.19,Enhancement,?,?,?,?,?,2,343,Python,2023,Agile
276,14,?,3.61,Enhancement,?,Yes,?,?,?,?,160,Java,2002,RAD
277,216,1.04,2.6,Enhancement,Telecommunications,?,?,4GL,?,14,3613,.NET,2003,Agile
278,747,?,11.34,New_Development,?,Yes,Multi,3GL,Windows,?,6767,Swift,2015,Waterfall
279,73,?,5.84,Enhancement,?,Yes,Multi,4GL,?,?,672,Go,2015,Agile
280,693,1,17.7,New_Development,?,?,?,4GL,?,9,12510,Swift,2016,RAD
281,151,?,12.75,Enhancement,Telecommunications,?,MR,?,Unix,5,1586,Go,2023,RAD
282,57,?,6.0,New_Development,?,?,MF,3GL,Windows,?,1505,C#,2016,Waterfall
283,1265,?,5.86,New_Development,?,Yes,Multi,4GL,Windows,?,10770,COBOL,2011,Agile
284,57,1.02,16.67,Enhancement,Telecommunications,?,MR,4GL,Unix,2,26,.NET,2018,Waterfall
285,56,?,23.81,Enhancement,?,?,MF,3GL,Mainframe,?,568,Python,2015,Waterfall
286,53,1.06,15.54,Enhancement,Telecommunications,?,MF,4GL,Mainframe,?,540,.NET,2018,RAD
287,291,1,24.24,New_Development,?,?,?,?,?,9,1827,C++,2002,Waterfall
288,510,1,12.14,Enhancement,?,?,?,?,?,8,1624,JavaScript,2008,Waterfall
289,257,0.95,14.48,New_Development,Telecommunications,?,PC,4GL,Unix,2,906,COBOL,2009,RAD
290,222,?,25.23,Enhancement,Telecommunications,?,MR,4GL,Unix,6,2007,.NET,2008,Waterfall
291,29,?,17.47,Enhancement,?,?,MF,3GL,?,?,553,COBOL,2001,RAD
292,4911,?,10.26,New_Development,Telecommunications,?,MR,?,Unix,?,71118,Java,2020,Agile
293,30,?,8.39,Enhancement,?,?,MF,3GL,Mainframe,?,1037,JavaScript,2017,Agile
294,52,1,5.55,Enhancement,?,?,?,3GL,?,?,361,Ruby,2021,Agile
295,2221,1.07,8.41,New_Development,Telecommunications,?,MR,4GL,Unix,17,25482,C#,2020,Agile
296,184,?,25.59,Enhancement,?,?,MF,3GL,?,?,1324,COBOL,2022,Waterfall
297,7,1.08,4.51,Enhancement,?,?,?,4GL,?,?,45,Python,2012,RAD
298,57,?,6.63,Enhancement,?,Yes,Multi,3GL,?,?,727,C#,2014,RAD
299,178,1,11.09,Enhancement,?,?,?,?,?,5,2865,Ruby,2010,RAD
300,10,?,10.48,Enhancement,?,?,MF,3GL,Mainframe,?,3871,COBOL,2012,RAD
301,96,0.94,9.92,Enhancement,Telecommunications,?,PC,3GL,Mainframe,2,494,Ruby,2013,Agile
302,6,1.08,14.37,Enhancement,?,Yes,?,4GL,?,?,734,Java,2008,RAD
303,70,?,7.61,Enhancement,?,Yes,Multi,3GL,?,?,444,Ruby,2009,Agile
304,43,1.14,9.36,Enhancement,?,Yes,?,?,?,?,286,C++,2003,Agile
305,1163,1,7.07,Enhancement,?,?,?,3GL,?,10,9786,Python,2021,RAD
306,177,0.99,5.28,New_Development,?,?,PC,3GL,Windows,7,1946,PHP,2013,Agile
307,24,1,33.02,Enhancement,?,?,?,?,?,4,708,Python,2017,Waterfall
308,490,1,6.58,New_Development,?,?,?,?,?,?,4672,.NET,2018,Agile
309,270,0.85,10.83,Enhancement,Telecommunications,?,?,4GL,Mainframe,3,1451,COBOL,2017,RAD
310,222,1.09,28.96,Enhancement,Telecommunications,?,?,3GL,?,3,310,COBOL,2012,Waterfall
311,103,1.03,7.43,Enhancement,Telecommunications,?,MR,4GL,Unix,?,2946,JavaScript,2005,Agile
312,2777,1.06,9.62,New_Development,Banking,?,MF,3GL,Mainframe,8,21625,Python,2019,Waterfall
313,187,1.19,33.09,Enhancement,?,?,?,3GL,?,?,654,Ruby,2019,Waterfall
314,228,?,11.18,Enhancement,?,Yes,Multi,4GL,Windows,4,1465,Java,2016,Agile
315,339,1.17,6.85,Enhancement,?,?,MF,3GL,Mainframe,43,8650,COBOL,2022,RAD
316,242,?,9.56,New_Development,?,?,MF,3GL,Mainframe,?,7710,COBOL,2017,Agile
317,133,1.07,24.23,Enhancement,?,?,?,3GL,?,?,8480,C#,2001,Waterfall
318,82,1,9.69,New_Development,Banking,?,MF,3GL,Mainframe,?,606,JavaScript,2006,RAD
319,144,?,3.53,Enhancement,?,?,MF,4GL,?,?,1346,C++,2001,Agile
320,3,1.17,26.31,Enhancement,?,Yes,?,3GL,?,?,23,COBOL,2009,Waterfall
321,366,1.02,6.65,Enhancement,?,?,?,3GL,?,?,7359,Swift,2019,Waterfall
322,403,1,6.08,New_Development,?,?,?,?,?,8,7500,JavaScript,2006,Agile
323,49,1.12,5.02,Enhancement,Telecommunications,?,?,?,?,2,966,Ruby,2006,Agile
324,138,1.02,1.98,Enhancement,Telecommunications,?,?,4GL,?,5,1499,C#,2012,Agile
325,632,0.95,14.28,New_Development,?,Yes,?,3GL,?,?,7252,PHP,2009,RAD
326,201,0.93,10.75,New_Development,Telecommunications,No,PC,4GL,Windows,1,562,COBOL,2000,Agile
327,338,1,3.27,Enhancement,?,?,?,?,?,1,973,Java,2005,Agile
328,83,1.2,7.38,Enhancement,?,?,MF,3GL,Unix,?,1145,JavaScript,2011,Agile
329,113,?,28.8,Enhancement,?,?,MF,3GL,?,?,1192,Java,2020,Waterfall
330,115,1.08,2.9,Enhancement,Telecommunications,Yes,MR,4GL,Unix,9,2802,C#,2023,Agile
331,763,0.94,24.85,Enhancement,Telecommunications,?,?,3GL,?,8,4272,C#,2021,Waterfall
332,322,1,15.99,Enhancement,?,?,?,?,?,6,835,Java,2017,RAD
333,1278,1.14,13.75,Enhancement,?,?,MF,3GL,Unix,?,28441,COBOL,2021,RAD
334,203,?,9.79,Enhancement,?,?,MF,3GL,Unix,14,5754,JavaScript,2022,Agile
335,246,1,11.06,New_Development,?,?,?,?,?,3,960,.NET,2010,Agile
336,116,1,23.61,New_Development,Banking,?,MF,3GL,Mainframe,5,2180,Java,2005,Waterfall
337,145,1.17,13.44,Enhancement,?,?,?,?,?,?,1594,Java,2020,Waterfall
338,2000,1,10.53,New_Development,?,?,?,?,?,?,29600,Ruby,2021,RAD
339,114,1,6.11,Enhancement,?,?,?,4GL,?,2,678,JavaScript,2009,RAD
340,73,1,11.47,Enhancement,Banking,No,MF,3GL,Mainframe,?,1404,COBOL,2004,Agile
341,43,1.02,27.27,Enhancement,?,?,?,3GL,?,?,3890,C++,2003,Waterfall
342,144,1,17.05,Enhancement,?,?,?,3GL,?,4,426,C++,2000,RAD
343,1122,1,5.51,New_Development,?,?,?,?,?,?,1208,PHP,2005,Agile
344,43,?,7.68,Enhancement,?,Yes,Multi,3GL,?,?,1042,Ruby,2018,RAD
345,49,?,17.88,Enhancement,?,No,MF,4GL,Unix,?,500,Java,2006,Waterfall
346,126,1,13.53,Enhancement,?,?,?,?,?,5,1237,Ruby,2022,Waterfall
347,199,1.22,9.29,Enhancement,?,?,?,3GL,?,?,5682,Swift,2021,Agile
348,79,0.94,7.41,Enhancement,?,?,?,3GL,?,?,2356,Python,2018,Agile
349,100,?,16.64,Enhancement,?,?,MF,4GL,?,?,1255,C#,2013,RAD
350,88,1.05,4.39,Enhancement,?,Yes,?,3GL,?,?,1092,COBOL,2002,Agile
351,19,?,9.78,Enhancement,?,?,MR,3GL,Unix,?,155,Python,2020,RAD
352,262,1.02,8.93,Enhancement,?,?,?,3GL,?,?,7258,Go,2019,RAD
353,426,1,15.43,New_Development,?,?,?,?,?,2,1680,Ruby,2023,Waterfall
354,383,1,6.81,New_Development,?,?,?,?,?,?,5322,Ruby,2008,Agile
355,87,?,4.11,Enhancement,?,Yes,MF,4GL,Unix,?,387,PHP,2007,RAD
356,320,1,6.7,New_Development,?,?,?,4GL,?,4,12180,JavaScript,2016,RAD
357,342,?,7.72,Enhancement,?,Yes,Multi,3GL,?,?,2734,COBOL,2009,RAD
358,116,1,11.42,Enhancement,?,?,?,?,?,10,2630,JavaScript,2017,RAD
359,97,1.05,26.97,Enhancement,Banking,?,MF,3GL,Mainframe,1,530,.NET,2019,Waterfall
360,98,1.01,7.05,New_Development,Telecommunications,?,?,4GL,?,12,2876,C#,2000,Agile
361,33,?,3.47,Enhancement,?,Yes,Multi,3GL,?,?,270,C#,2002,Agile
362,65,1.09,7.16,Enhancement,Telecommunications,Yes,PC,?,Windows,?,997,C#,2002,Waterfall
363,88,1,17.56,Enhancement,?,?,?,?,?,3,760,Ruby,2007,Waterfall
364,3,?,10.81,Enhancement,?,?,MF,3GL,?,?,95,COBOL,2004,Agile
365,79,1.07,8.08,Enhancement,?,?,?,3GL,?,?,2817,JavaScript,2007,Agile
366,103,?,4.78,Enhancement,?,?,?,3GL,?,?,4496,Swift,2015,RAD
367,200,1.09,12.36,Enhancement,Telecommunications,?,?,4GL,?,19,8151,PHP,2001,RAD
368,133,1.07,17.14,Enhancement,Telecommunications,?,?,3GL,?,3,334,COBOL,2017,RAD
369,52,1,6.61,Enhancement,?,?,MF,?,Unix,?,741,Java,2010,Agile
370,89,?,13.76,Enhancement,?,?,MF,3GL,Mainframe,?,508,Java,2000,Waterfall
371,522,?,14.18,New_Development,?,?,MR,3GL,Unix,?,7063,C#,2014,RAD
372,85,0.98,35.38,Enhancement,?,?,PC,?,Windows,?,846,Java,2003,Waterfall
373,65,1.12,12.21,Enhancement,?,?,MF,4GL,Unix,?,1142,.NET,2002,Waterfall
374,360,?,14.96,Enhancement,?,Yes,Multi,3GL,?,?,9347,C#,2002,RAD
375,108,1.12,14.02,Enhancement,?,No,MF,3GL,?,2,1652,.NET,2014,Waterfall
376,189,1,12.65,New_Development,?,?,?,?,?,?,5241,Java,2023,Waterfall
377,3,?,6.45,Enhancement,?,Yes,?,?,?,?,45,COBOL,2016,Agile
378,227,?,2.75,Enhancement,?,Yes,Multi,4GL,?,?,1009,Swift,2021,Agile
379,146,1.24,8.22,Enhancement,?,Yes,?,3GL,?,?,2446,Python,2016,Agile
380,25,1.1,13.06,Enhancement,?,Yes,?,4GL,?,?,384,Java,2001,RAD
381,790,1,10.23,New_Development,?,?,?,?,?,4,2909,PHP,2013,Agile
382,70,0.98,9.58,Enhancement,?,?,?,3GL,?,?,1480,Ruby,2011,Agile
383,571,?,3.7,Enhancement,Telecommunications,?,?,3GL,?,18,8996,.NET,2007,RAD
384,322,1,3.11,New_Development,?,?,?,4GL,?,4,7850,.NET,2004,RAD
385,127,?,15.8,Enhancement,?,No,MF,3GL,Mainframe,3,2715,COBOL,2013,Waterfall
386,351,?,10.29,New_Development,?,Yes,Multi,4GL,Windows,?,1118,PHP,2001,RAD
387,122,1.24,7.89,Enhancement,?,?,?,3GL,?,?,7991,Java,2005,Agile
388,1279,1,2.18,New_Development,?,?,?,?,?,8,3569,Swift,2020,Agile
389,141,0.96,5.59,New_Development,?,No,MF,3GL,?,1,1600,COBOL,2018,Agile
390,150,?,6.74,Enhancement,?,Yes,Multi,4GL,?,?,2595,Java,2004,Agile
391,89,?,9.69,Enhancement,?,Yes,Multi,4GL,?,?,1712,C#,2000,RAD
392,141,?,6.94,Enhancement,?,Yes,Multi,4GL,?,?,783,.NET,2014,Waterfall
393,300,1,7.48,New_Development,?,?,?,3GL,?,6,889,PHP,2005,RAD
394,106,1.03,4.02,Enhancement,?,?,?,?,?,?,1261,C#,2017,RAD
395,64,1.12,10.83,Enhancement,?,?,?,?,?,?,347,COBOL,2016,Agile
396,3,?,11.0,Enhancement,?,Yes,?,?,?,?,42,C#,2021,Agile
397,542,1,26.38,New_Development,?,?,?,?,?,2,2240,PHP,2008,Waterfall
398,58,?,23.63,Enhancement,?,Yes,Multi,3GL,?,?,1062,C#,2016,Waterfall
399,194,0.88,6.85,New_Development,Banking,?,MF,3GL,Mainframe,?,273,Ruby,2006,Agile
400,97,1.01,10.24,Enhancement,Telecommunications,?,?,4GL,?,?,404,Java,2002,RAD
401,86,1.17,10.01,Enhancement,?,?,MF,3GL,Mainframe,?,1102,.NET,2010,Agile
402,56,?,8.22,Enhancement,?,?,MF,3GL,Mainframe,?,980,PHP,2003,Agile
403,218,1,3.32,Enhancement,?,?,?,3GL,?,6,2250,COBOL,2004,Agile
404,108,1.1,15.86,Enhancement,?,?,?,3GL,?,?,4461,C++,2000,Waterfall
405,158,1.07,3.93,Enhancement,?,?,?,3GL,?,?,4140,C++,2001,RAD
406,16,0.95,5.33,Enhancement,?,?,?,3GL,?,?,2114,Go,2017,RAD
407,89,1.07,14.95,Enhancement,?,?,?,3GL,?,?,4884,COBOL,2002,Waterfall
408,121,1.06,24.24,Enhancement,Telecommunications,?,?,3GL,?,4,1293,.NET,2020,Waterfall
409,263,1,11.71,Enhancement,?,?,?,3GL,?,3,1311,Java,2004,Agile
410,107,1.18,3.72,Enhancement,?,?,?,3GL,?,?,3160,.NET,2006,Agile
411,70,1.09,6.81,Enhancement,?,?,MF,3GL,Unix,?,1699,Python,2015,Agile
412,476,1,3.92,Enhancement,?,?,?,?,?,?,10880,C#,2004,RAD
413,155,?,12.23,Enhancement,?,?,MF,3GL,Unix,7,1974,Swift,2018,Waterfall
414,169,1.04,26.79,Enhancement,?,?,?,3GL,?,?,3705,COBOL,2006,Waterfall
415,126,?,21.11,Enhancement,?,Yes,Multi,4GL,Windows,?,1442,Swift,2020,Waterfall
416,50,1.03,5.38,Enhancement,?,?,MF,4GL,Unix,?,921,C++,2004,RAD
417,98,1.12,3.94,Enhancement,?,No,MF,3GL,Mainframe,6,3271,PHP,2000,Agile
418,391,0.99,10.54,New_Development,Telecommunications,?,?,3GL,?,10,3287,Ruby,2008,RAD
419,70,1.04,7.72,Enhancement,Telecommunications,No,PC,4GL,Windows,3,764,Java,2005,RAD
420,84,?,19.7,Enhancement,?,?,MF,3GL,?,?,1353,JavaScript,2014,Waterfall
421,777,1,13.66,Enhancement,?,?,?,?,?,5,3024,COBOL,2016,Waterfall
422,201,0.65,9.85,Enhancement,?,?,MF,3GL,Mainframe,14,3926,.NET,2000,RAD
423,1387,?,9.03,New_Development,?,Yes,Multi,4GL,Windows,?,1225,Ruby,2007,RAD
424,380,0.93,11.75,Enhancement,?,?,?,?,?,?,2676,JavaScript,2009,Waterfall
425,12,1.19,33.97,Enhancement,?,?,?,3GL,?,?,96,.NET,2013,Waterfall
426,62,1.02,26.33,Enhancement,Telecommunications,Yes,PC,4GL,Windows,3,996,Swift,2021,Waterfall
427,525,1,8.84,Enhancement,?,?,?,?,?,3,306,C++,2002,RAD
428,64,0.98,3.34,Enhancement,?,?,?,3GL,?,?,620,COBOL,2017,Agile
429,67,?,4.31,Enhancement,Telecommunications,?,MR,3GL,Unix,9,1894,.NET,2017,RAD
430,29,?,7.83,New_Development,?,?,PC,3GL,Windows,?,395,COBOL,2010,Agile
431,103,?,27.36,Enhancement,?,?,MF,3GL,?,?,1743,Ruby,2009,Waterfall
432,578,1,32.55,New_Development,Banking,?,MF,3GL,Mainframe,?,5134,Java,2008,Waterfall
433,13,?,5.69,Enhancement,?,?,MF,3GL,?,?,497,C++,2002,Agile
434,127,1.15,13.39,Enhancement,?,?,MF,3GL,Unix,?,7451,COBOL,2021,Waterfall
435,473,?,21.44,New_Development,?,?,MR,3GL,Unix,?,2000,Ruby,2010,Waterfall
436,201,0.89,11.59,Enhancement,?,No,MF,3GL,Mainframe,7,3804,Python,2019,RAD
437,73,1.18,6.19,Enhancement,?,?,?,3GL,?,?,3934,.NET,2020,RAD
438,15,?,14.33,Enhancement,?,?,MF,3GL,?,?,559,PHP,2009,RAD
439,385,?,24.26,Enhancement,?,Yes,Multi,4GL,?,?,9865,.NET,2013,Waterfall
440,41,?,12.67,Enhancement,?,Yes,Multi,3GL,?,?,805,COBOL,2008,Waterfall
441,51,1.12,9.13,Enhancement,?,Yes,?,4GL,?,?,536,.NET,2009,RAD
442,385,1,15.35,New_Development,Banking,?,MF,4GL,Mainframe,7,2761,C#,2017,Waterfall
443,747,1,2.76,Enhancement,?,?,?,3GL,?,3,3108,JavaScript,2006,Agile
444,124,1,14.27,New_Development,Banking,?,MF,3GL,Mainframe,2,616,Java,2022,Waterfall
445,261,1.01,35.59,Enhancement,Telecommunications,Yes,MR,4GL,Unix,8,2639,Python,2013,Waterfall
446,527,1.29,22.31,Enhancement,?,?,?,3GL,?,?,1621,Ruby,2016,Waterfall
447,11,?,7.05,Enhancement,?,Yes,Multi,4GL,?,?,429,.NET,2009,RAD
448,254,1,10.97,New_Development,?,?,?,3GL,?,80,28760,PHP,2010,RAD
449,95,?,30.45,Enhancement,?,?,MF,3GL,?,?,4092,Go,2021,Waterfall
450,416,1,4.47,Enhancement,?,?,?,?,?,7,3800,Ruby,2005,RAD
451,175,1,6.71,Enhancement,?,?,?,?,?,4,471,Ruby,2013,Agile
452,1290,?,12.16,New_Development,Telecommunications,?,?,3GL,?,31,22045,Java,2000,RAD
453,162,1,4.83,Enhancement,?,?,?,3GL,?,4,1092,.NET,2006,RAD
454,262,?,7.9,Enhancement,?,Yes,Multi,4GL,?,?,5729,Go,2020,RAD
455,99,?,4.51,Enhancement,?,Yes,Multi,3GL,?,?,1761,Java,2019,Agile
456,31,?,7.68,Enhancement,?,?,MF,4GL,?,?,543,Go,2015,Agile
457,30,1,33.62,Enhancement,?,?,?,4GL,?,2,301,PHP,2008,Waterfall
458,79,1,10.98,New_Development,?,?,?,3GL,?,2,1108,COBOL,2006,Agile
459,2391,1,8.48,Enhancement,?,?,?,?,?,9,3889,.NET,2021,Agile
460,406,1,7.09,New_Development,?,?,?,?,?,?,964,C#,2019,Waterfall
461,2027,1,9.76,New_Development,?,?,?,?,?,?,28160,JavaScript,2022,Agile
462,3622,?,3.5,Enhancement,?,?,MF,3GL,Mainframe,?,14573,.NET,2001,Agile
463,120,1.12,33.66,Enhancement,?,Yes,?,4GL,?,?,912,JavaScript,2015,Waterfall
464,50,1.14,34.75,Enhancement,?,?,MF,3GL,Unix,?,1132,PHP,2010,Waterfall
465,370,?,5.62,Enhancement,?,?,MF,3GL,Mainframe,?,1505,C++,2000,Agile
466,391,1,21.98,New_Development,?,?,?,?,?,9,3247,COBOL,2005,Waterfall
467,144,1.01,11.19,Enhancement,Telecommunications,?,?,4GL,?,4,742,Ruby,2009,Agile
468,44,?,1.57,Enhancement,?,Yes,Multi,3GL,?,?,219,PHP,2005,Agile
469,160,1.16,18.77,Enhancement,?,?,?,3GL,?,?,1479,C#,2000,Waterfall
470,213,?,30.29,Enhancement,?,Yes,Multi,3GL,?,?,6391,COBOL,2017,Waterfall
471,550,1,25.18,New_Development,?,?,?,?,?,9,9296,COBOL,2007,Waterfall
472,14,0.76,1.53,Enhancement,?,Yes,?,?,?,?,162,C#,2009,Agile
473,161,?,5.71,New_Development,?,?,MF,3GL,Mainframe,?,9808,C#,2020,Agile
474,27,?,4.15,Enhancement,?,?,MF,3GL,Mainframe,?,96,Python,2020,RAD
475,64,1,17.32,New_Development,Banking,No,MF,3GL,Mainframe,3,1073,COBOL,2001,RAD
476,75,1.22,11.62,Enhancement,?,?,MF,4GL,Unix,?,303,C#,2020,Waterfall
477,82,?,25.65,Enhancement,?,Yes,Multi,4GL,?,?,1571,.NET,2012,Waterfall
